fips_ipeds,min(dif_white),max(dif_white),median(dif_white),mean(dif_white),sd(dif_white),min(dif_hispa),max(dif_hispa),median(dif_hispa),mean(dif_hispa),sd(dif_hispa),min(dif_black),max(dif_black),median(dif_black),mean(dif_black),sd(dif_black),min(dif_asian),max(dif_asian),median(dif_asian),mean(dif_asian),sd(dif_asian),min(dif_amind),max(dif_amind),median(dif_amind),mean(dif_amind),sd(dif_amind),min(dif_pacis),max(dif_pacis),median(dif_pacis),mean(dif_pacis),sd(dif_pacis),min(dif_twora),max(dif_twora),median(dif_twora),mean(dif_twora),sd(dif_twora)
1,Alabama,-65.29802,33.82872,3.2755615,-8.0045986,30.1513546275962,-18.08962,4.356997,-2.500908,-3.57874441,5.12495583508082,-25.28505,66.25224,-4.594827,9.35976886666667,30.551632182565,-4.031996,4.506811,-0.8035229,-0.557389463333333,1.73480231142658,-0.7170228,1.038391,-0.13491735,-0.0912119266666667,0.369824798350171,-0.2084886,2.909766,0.0545723,0.17992816,0.558769943491543,-2.896031,3.867469,-0.2363135,-0.0262788433333333,1.71717757700597
2,Alaska,-12.14842,0.9543121,-3.34364325,-4.4703486,6.18176247665294,-4.756989,-1.10303,-2.119467,-2.52473825,1.75838322138158,-3.572173,-0.0430658,-1.3916335,-1.59962645,1.48795466766176,-5.0016,2.03694,-2.954005,-2.2181675,3.27374267825288,-7.055115,9.630701,2.818692,2.0532425,7.96588592159363,-1.168593,0.1463561,-0.89464925,-0.70288385,0.599729216847673,-4.45661,2.092749,-1.01907725,-1.100503875,2.85331099007867
3,Arizona,-13.75773,37.51622,10.493893,10.21018435,10.4626206293201,-26.81425,8.286301,-13.36351,-11.93637275,8.43878240082972,-11.83514,20.389,0.6228849,2.398141545,6.92115705691661,-3.323021,7.199946,-0.6292715,0.09643978,2.74599587614139,-3.832915,2.947006,-1.3193695,-1.219292585,1.63857947145019,-0.2674384,1.380095,0.1524833,0.31869044,0.395103941019962,-4.185033,7.316807,0.10940915,0.014439805,3.16815485408034
4,Arkansas,-62.58468,31.25332,3.205192,-1.35027349047619,25.2585165313109,-16.55458,2.871811,-2.068026,-3.96701806666667,5.42975133945682,-20.30995,69.82644,-4.951784,3.59068542380952,25.039531948365,-4.289557,3.061419,-0.6572375,-0.621712161904762,1.63012191664624,-3.028909,1.282187,0.0695315,-0.023356419047619,0.994819054953479,-0.2641635,0.3152888,-0.0168901,-0.00224253333333333,0.166624945379143,-3.753396,7.503012,-0.2257492,-0.0151015238095238,2.61732524455031
5,California,-36.44272,72.11274,0.59690325,2.736413885,16.6005609711794,-43.80463,22.81439,-7.6255405,-8.62431090214286,14.7860488832966,-13.60897,33.19422,-0.94188805,0.18100958,8.25865799732648,-14.03959,65.20748,0.32684205,4.45905374,13.7168283512414,-2.545871,3.987049,-0.40848985,-0.255926184285714,0.645018704375393,-0.6460932,4.943243,0.109016,0.453372375714286,0.963674485301334,-6.867047,10.96811,0.1375908,0.106205283571429,3.38772038928777
6,Colorado,-23.74691,21.40483,5.873972,3.36922756,12.2831294728526,-21.83163,12.21401,-9.433918,-7.862136,7.5683015974607,-11.95693,23.17336,-0.519253,0.281595144,6.43037238051583,-2.72064,6.549221,-0.4728388,-0.059127876,2.12876858922862,-0.9372844,21.9615,-0.4712092,0.573264484,4.49183123590349,-0.2684125,0.7364596,0.0296308,0.0834659,0.259298987620803,-4.41928,6.068387,0.0519283,0.37674438,2.58760979070321
7,Connecticut,-17.31874,30.63377,6.0721545,6.74413728333333,12.9756147663371,-14.07498,9.427446,-7.068959,-6.12849264166667,5.46846197450379,-14.18208,20.30702,-2.856609,-1.77353343333333,8.73477371637942,-7.012557,12.61155,-1.5288225,-0.700116575,4.61696628450744,-0.8387567,0.8358391,-0.16029755,-0.198678354166667,0.425629370155273,-0.2084886,0.4319514,-0.0180274,0.00506530416666667,0.161306216859168,-2.328565,2.498781,-0.6925253,-0.415965641666667,1.36959542502467
8,Delaware,-43.55503,19.16044,-9.9962435,-10.720165,20.619551512706,-10.28175,-2.574917,-6.614677,-6.3846505,2.95148646855402,-20.10377,48.87607,12.5053425,14.1991098333333,24.7336302187783,-6.559016,1.003233,-4.091457,-3.771324,2.61771342343374,-0.3294293,1.025314,0.0423155,0.117801333333333,0.47992151904056,-0.0518915,0.3878121,0.0558464,0.1245227,0.185936939695672,-3.161842,3.122004,1.6326365,0.891241866666667,2.34056431306053
9,District of Columbia,-49.36291,14.69092,-28.92015,-20.07538,25.477199798678,-10.68408,14.10384,-6.253876,-4.22892381818182,7.15552172220691,-9.423046,65.46737,15.25403,16.5835394545455,27.403439600257,-5.640779,5.159413,-2.792922,-1.57825663636364,3.86955397643732,-0.8953819,0.7338153,-0.2849202,-0.257662309090909,0.52990273488762,-0.2084886,0.6587385,-0.0626042,0.0134826363636364,0.246071308186632,-3.86632,1.179612,-0.3897794,-0.651238327272727,1.58920511737786
10,Florida,-51.92989,74.24989,1.5534905,-0.0335030469696972,22.7975532136584,-41.83139,75.06542,-6.6788465,-4.84848438030303,17.9352805994554,-25.79016,60.94172,-6.4256725,-0.193782304545455,20.1739332131586,-3.38617,7.873672,-1.262602,-0.637418990909091,2.23198183445227,-0.7728906,2.198035,-0.07343915,-0.0439453212121212,0.422498901378557,-0.1707989,2.431329,0.04026635,0.143787853030303,0.369969500867369,-3.603341,3.154672,-0.9894337,-1.03173595151515,1.61221833874532
